,geocode_query,lat,lon
424,"Шымкент, Кокшетау 5а",42.3818891,69.6032111
425,"Астана, Санжара Асфендиярова",51.1333591,71.3791123
426,"Шымкент, мкр Акжайык, Сырым батыра 99/3",,
427,"Алматы, мкр Акбулак, 1-я улица 43",,
428,"Астана, Жансугурова 4/3",51.1588931,71.4837928
429,"Астана, Е-36 4",51.1262099,71.3836769
430,"Алматы, мкр Шугыла, Мкр. Шугыла",,
431,"Астана, Ул.Бухар Жырау 32",51.0993827,71.4321172
432,"Астана, Туран 42",51.1145679,71.4026746
433,"Астана, ул. Асан кайгы 2блок2",,
434,"Астана, Шамши Калдаяков 11",51.1184932,71.4618178
435,"Астана, Улица Чингиз Айтматов, 79/1 79/1",,
436,"Астана, Аманжол Болекпаев 22",51.1230297,71.4995146
437,"Астана, Динмухамед Конаев 3",,
438,"Астана, Сыганак 64/1",51.1289594,71.388747
439,"Астана, Просп. Мангилик Ел 40/1",51.0977475,71.4276535
440,"Астана, ул. Бейбарыс Султан 9",51.1738024,71.368076
441,"Астана, Кошкарбаева 2",51.130707,71.5004279
442,"Астана, бейбарыс султан 25/3",51.1728973,71.3594164
443,"Астана, А62 участок 2",,
444,"Астана, Туран",51.1397506,71.4778587
445,"Алматы, Утепова 31",43.2186767,76.8877608
446,"Алматы, Белжайлау 47а",43.2021409,76.8009725
447,"Шымкент, К. Толеметова 85",42.278997,69.6502703
448,"Астана, Aль-Фараби 44/1",51.0862059,71.4494257
449,"Алматы, Назарбаева",43.2702218,76.9457466
450,"Алматы, Хусаинова",43.1930572,76.8924856
451,"Алматы, мкр Рахат, Култобе 24/1-24/10",,
452,"Алматы, ул. Пушкина 41",43.2600745,76.7982205
453,"Алматы, Абая 150/230 блок11",,
454,"Шымкент, мкр Шымсити, Туркия",,
455,"Астана, Е15 15",49.1573252,56.4904088
456,"Шымкент, Толеметова",42.278997,69.6502703
457,"Алматы, Микрорайон Мамыр-1 26/1",43.2123501,76.8506628
458,"Алматы, мкр Тастак-2, Тастақ-2 ш/а.",,
459,"Алматы, Жунисова",43.225519,76.786947
460,"Шымкент, мкр Шымсити 189кварт.дом.393",,
461,"Шымкент, ул. А. Анарова 8А",,
462,"Алматы, Бауыржана Момышулы 11/14а",43.2720709,76.817708
463,"Астана, ул. Мангилик Ел 35а",50.2768429,57.1348037
464,"Астана, Улы Дала 10",51.1042869,71.3573708
465,"Алматы, мкр Шугыла, Микрорайон «Шугыла»",,
466,"Астана, Нажимеденова 34/2",51.1148159,71.5011026
467,"Алматы, мкр Астана, Bromelia",,
468,"Алматы, Муратбаева",43.2580704,76.9170291
469,"Алматы, Бабаева 158",43.2225105,76.8899814
470,"Алматы, мкр Аксай-1, Саина",,
471,"Алматы, Утеген батыра 71а",43.2415619,76.8574394
472,"Алматы, ​Герольда Бельгера 1Б",43.1936602,76.8387599
